ModuleId,Name_CN,Category,SubType,Rarity,FuncTags,ShapeTags,StyleTags,ConsumeKind,WindowSeconds,MaxStacks,EffectRole,Threshold,Cooldown,Interval,BaseDamage,DamageScaling,AoeRadius,Element,ModifierValue,UniTrigType,UniEffType,DropSource,UnlockCond,Desc_CN
E_HuoYu_Rain,火雨,1,1,2,1,0,32,0,5,3,1,1,2,5,25,0.5,4,1,1.5,-1,-1,普通房,默认开放,火雨
E_JianSu,减速,1,5,0,32,0,64,0,5,3,1,1,2,5,25,0.5,4,2,1.5,-1,-1,普通房,默认开放,减速
E_JingHua,净化,1,11,1,6,0,0,0,5,3,0,1,2,5,25,0.5,4,9,1.5,-1,-1,普通房,默认开放,净化
E_JuDu,剧毒,1,4,1,1,0,16,0,5,3,1,1,2,5,25,0.5,4,5,1.5,-1,-1,普通房,默认开放,剧毒
E_LuoShi,落石,1,1,1,1,0,0,0,5,3,1,1,2,5,25,0.5,4,7,1.5,-1,-1,普通房,默认开放,落石
E_WuDi,无敌,1,12,2,2,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,无敌
E_XuanYun,眩晕,1,6,1,32,0,8,0,5,3,1,1,2,5,25,0.5,4,3,1.5,-1,-1,普通房,默认开放,眩晕
E_YiShang,易伤,1,8,1,33,0,0,0,5,3,1,1,2,5,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,易伤
E_ZhenDangBo,震荡波,1,7,0,32,0,0,0,5,3,1,1,2,5,25,0.5,4,4,1.5,-1,-1,普通房,默认开放,震荡波
E_冲击波,E_冲击波,1,7,0,32,2,0,0,5,3,0,1,2,5,0,0.5,5,0,1.5,-1,-1,普通房,默认开放,击退周围所有敌人
E_剑气,E_剑气,1,3,0,1,4,0,0,5,3,1,1,2,5,22,0.5,0,0,1.5,-1,-1,普通房,默认开放,释放前方扇形剑气
E_引力场,E_引力场,1,14,0,32,2,0,0,5,3,1,1,2,5,0,0.5,6,0,1.5,-1,-1,普通房,默认开放,拉拽周围敌人到玩家位置
E_护盾,E_护盾,1,10,0,2,8,0,0,5,3,0,1,2,5,0,0.5,0,0,1.5,-1,-1,普通房,默认开放,获得减伤护盾
E_毒雾,E_毒雾,1,4,0,1,2,16,0,5,3,1,1,2,5,0,0.5,3.5,7,1.5,-1,-1,普通房,默认开放,在鼠标位置释放持续毒雾
E_治疗,E_治疗,1,9,0,4,0,0,0,5,3,0,1,2,5,0,0.5,0,0,1.5,-1,-1,普通房,默认开放,恢复生命值
E_突刺,E_突刺,1,13,1,9,4,0,0,5,3,1,1,2,5,15,0.5,0,0,1.5,-1,-1,普通房,默认开放,向瞄准方向突刺
E_范围爆炸,E_范围爆炸,1,1,1,1,2,32,0,5,3,1,1,2,5,30,0.5,4,1,1.5,-1,-1,普通房,默认开放,在鼠标位置产生范围爆炸
E_落雷,E_落雷,1,1,1,1,2,8,0,5,3,1,1,2,5,35,0.5,3,4,1.5,-1,-1,普通房,默认开放,向最近敌人落下雷击
E_飞弹,E_飞弹,1,2,0,1,1,0,0,5,3,1,1,2,5,18,0.5,0,0,1.5,-1,-1,普通房,默认开放,向瞄准方向发射飞弹
M_FuLei,附雷,2,14,1,1,0,8,0,5,3,0,1,2,5,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,附雷
M_HuanRaoSheJi,环绕射击,2,6,2,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,投射技 360° 环绕发射
M_HuoHuan,火环,2,2,2,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,投射→360°外散环
M_HuoQiang,火墙,2,1,2,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,投射→并列横墙
M_HuoYu,火域,2,3,2,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,投射→落点持续域
M_LianSuoTanShe,链锁弹射,2,5,2,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,命中后弹向附近敌人 x2
M_PoZhan,破绽,2,17,1,33,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,破绽
M_YanChiHongBao,延迟轰爆,2,10,3,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,范围技追加延迟重爆
M_YanLeng,延冷,2,23,0,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,延冷
M_YuJinDiDai,余烬地带,2,11,3,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,范围技留下持续地带
M_YuanSuo,远锁射击,2,4,2,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,自动改射最远敌
M_以血换力,M_以血换力,2,22,2,1,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,消耗10%生命，伤害+50%
M_伤害强化,M_伤害强化,2,21,1,1,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1.4,-1,-1,普通房,默认开放,伤害提升40%
M_冰冻,M_冰冻,2,13,1,32,0,64,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,附加冰冻减速
M_击退,M_击退,2,16,1,32,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,附加击退效果
M_扩散,M_扩散,2,18,1,1,2,0,0,5,3,0,1,2,5,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,范围增大50%
M_持续延长,M_持续延长,2,20,1,0,0,0,0,5,3,0,1,2,5,25,0.5,4,0,1.8,-1,-1,普通房,默认开放,持续时间增加80%
M_毒蚀,M_毒蚀,2,15,1,1,0,16,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,附加毒蚀效果
M_灼烧,M_灼烧,2,12,1,1,0,32,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,附加灼烧效果
M_连锁,M_连锁,2,19,1,1,1,0,0,5,3,0,1,2,5,25,0.5,4,0,2,-1,-1,普通房,默认开放,投射物翻倍
M_额外飞弹,M_额外飞弹,2,8,1,1,1,0,0,5,3,0,1,2,5,25,0.5,4,0,1,-1,-1,普通房,默认开放,额外发射2枚投射物
U_冲刺/突刺,U_冲刺/突刺,3,6,1,9,0,0,1,5,3,1,1,2,5,20,0.5,0,0,1.5,6,13,普通房,默认开放,作为触发器：移动8米后触发 | 作为效果器：突刺位移+伤害
U_护盾/治疗,U_护盾/治疗,3,7,1,6,0,0,0,5,3,0,1,4,5,0,0.5,0,0,1.5,7,9,普通房,默认开放,作为触发器：受击时触发 | 作为效果器：回复生命
U_种子/引爆,U_种子/引爆,3,1,1,65,0,1,2,5,3,1,3,2,5,40,0.5,4,7,1.5,1,1,普通房,默认开放,作为触发器：攻击3次积累种子 | 作为效果器：引爆种子造成范围伤害
U_连击/剑气,U_连击/剑气,3,1,1,1,0,0,2,5,3,1,5,1.5,5,25,0.5,0,0,1.5,1,3,普通房,默认开放,作为触发器：连击5次触发 | 作为效果器：释放扇形剑气
U_闪电/落雷,U_闪电/落雷,3,5,1,9,0,8,1,5,3,1,1,3,5,28,0.5,3.5,4,1.5,5,1,普通房,默认开放,作为触发器：闪避后触发 | 作为效果器：范围落雷
