EnumName,IntValue,MemberName,UsedByColumn
EffectType,22,GainCharge,SubType(Category=1) / UniEffType
ModifierType,0,None,SubType(Category=2)
ModifierType,1,ShapeWall,SubType(Category=2)
ModifierType,2,ShapeRing,SubType(Category=2)
ModifierType,3,ShapeZone,SubType(Category=2)
ModifierType,4,TargetFarthest,SubType(Category=2)
ModifierType,5,TargetChain,SubType(Category=2)
ModifierType,6,TargetSurround,SubType(Category=2)
ModifierType,7,ExtraCount,SubType(Category=2)
ModifierType,8,ExtraProjectile,SubType(Category=2)
ModifierType,9,ExtraSummon,SubType(Category=2)
ModifierType,10,DelayedBlast,SubType(Category=2)
ModifierType,11,Sustained,SubType(Category=2)
ModifierType,12,AddBurn,SubType(Category=2)
ModifierType,13,AddFreeze,SubType(Category=2)
ModifierType,14,AddLightning,SubType(Category=2)
ModifierType,15,AddPoison,SubType(Category=2)
ModifierType,16,AddKnockback,SubType(Category=2)
ModifierType,17,AddVulnerable,SubType(Category=2)
ModifierType,18,RadiusScale,SubType(Category=2)
ModifierType,19,CountScale,SubType(Category=2)
ModifierType,20,DurationScale,SubType(Category=2)
ModifierType,21,DamageScale,SubType(Category=2)
ModifierType,22,CostHP,SubType(Category=2)
ModifierType,23,CostCooldown,SubType(Category=2)
ElementTag,0,None,Element
ElementTag,1,Fire,Element
ElementTag,2,Ice,Element
ElementTag,3,Thunder,Element
ElementTag,4,Wind,Element
ElementTag,5,Wood,Element
ElementTag,6,Water,Element
ElementTag,7,Earth,Element
ElementTag,8,Pierce,Element
ElementTag,9,Life,Element
FunctionTag,0,None,FuncTags(位标志求和)
FunctionTag,1,Damage,FuncTags(位标志求和)
FunctionTag,2,Defense,FuncTags(位标志求和)
FunctionTag,4,Heal,FuncTags(位标志求和)
FunctionTag,8,Mobility,FuncTags(位标志求和)
FunctionTag,16,Summon,FuncTags(位标志求和)
FunctionTag,32,Control,FuncTags(位标志求和)
FunctionTag,64,State,FuncTags(位标志求和)
ShapeTag,0,None,ShapeTags(位标志求和)
ShapeTag,1,Projectile,ShapeTags(位标志求和)
ShapeTag,2,Area,ShapeTags(位标志求和)
ShapeTag,4,Melee,ShapeTags(位标志求和)
ShapeTag,8,Aura,ShapeTags(位标志求和)
ShapeTag,16,Chain,ShapeTags(位标志求和)
ShapeTag,32,Object,ShapeTags(位标志求和)
StyleTag,0,None,StyleTags(位标志求和)
StyleTag,1,Seed,StyleTags(位标志求和)
StyleTag,2,Backstab,StyleTags(位标志求和)
StyleTag,4,Puppet,StyleTags(位标志求和)
StyleTag,8,Lightning,StyleTags(位标志求和)
StyleTag,16,Poison,StyleTags(位标志求和)
StyleTag,32,Fire,StyleTags(位标志求和)
StyleTag,64,Ice,StyleTags(位标志求和)
