ConfigId,Name_CN,SkillType,Element,Rarity,BaseDamage,DamageScaling,Cooldown,CastSpeed,MaxCharges,ChargeTime,CanCharge,ChargeLv2Time,ChargeLv3Time,ChargeLv2DmgMul,ChargeLv3DmgMul,ChargeLv2RadMul,ChargeLv3RadMul,ChargeMoveMul,AoeRadius,ProjectileSpeed,ProjectileCount,SpreadAngle,DashDistance,LeaveTrail,HealAmount,HealScaling,SummonDuration,SummonDamage,SummonIsDecoy,BuffDuration,BuffAtkSpeedPct,BuffMoveSpeedPct,BuffAtkPct,BuffDamageReduction,FreezeOnHitChance,FreezeOnHitDuration,DamageFromRunTotal,RunTotalDamageRatio,DashInvulnerable,DashInvulnDuration,ArmLethalGuard,LethalGuardDuration,HeavenEarthShift,ZoneDuration,ZoneRadius,ZoneTickInterval,ZoneDamagePerTick,ZoneSlowPct,ZonePullSpeed,ZoneFollowPlayer,ZoneBurnDPS,PlayAnimation,VfxDuration
11,天罡北斗阵,6,8,2,30,0.5,30,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,8,5,0.5,0.1,0.4,0,1,0,0,1.5
12,九天玄火阵,6,1,3,30,0.5,45,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,12,0.5,0.08,0,0,0,5,0,1.5
13,冥河召唤,6,6,3,30,0.5,45,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,12,0.5,0.1,0.6,0,0,0,0,1.5
14,轮回一击,0,0,4,1,0.5,90,1,1,0,1,0.5,1.5,1.5,2.5,1,1.3,0.4,4,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,1,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
15,天地大挪移,3,0,4,30,0.5,60,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,10,0,0,0,0,0,1.5,0,0.1,0,0,0,0,1,5,0,0.5,0.15,0,0,0,0,0,1.5
21,御剑术,1,8,0,20,0.4,5,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,18,3,30,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1
22,影步,2,4,1,10,0.2,4,1,2,4,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,7,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,0.5
23,烈焰掌,1,1,1,15,0.35,7,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,14,5,60,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1
24,寒冰诀,0,2,1,25,0.6,10,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,5,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
25,天雷引,0,3,1,50,0.8,15,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,4,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,2
26,回春术,4,9,1,0,0,18,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,40,0.5,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
27,雷锁链,0,3,2,35,0.6,12,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,6,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
28,镜花水月,3,6,2,0,0,16,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,4
29,傀儡术,5,0,2,0,0,20,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,10,12,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1
